id,year,era,country,brand,campaign,agency,writer,director,genre,category,format,why,link
112,2017,2010s,India,Ariel,Share The Load - Dads,BBDO India,,,Brand Film / TVC,Advertising,Film,The father perspective made an old platform feel newly personal,https://www.youtube.com/results?search_query=Ariel+Share+The+Load+-+Dads+Indian+advertisement
113,2017,2010s,India,Google India,#LookBeforeYouLeave,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A public-safety behaviour is made memorable through everyday insight,https://www.youtube.com/results?search_query=Google+India+%23LookBeforeYouLeave+Indian+advertisement
114,2018,2010s,India,CRED,Members Only / early work,In-house / agencies,,,Brand Film / TVC,Advertising,Film,Began building a distinct premium-fintech advertising tone,https://www.youtube.com/results?search_query=CRED+Members+Only+%2F+early+work+Indian+advertisement
115,2018,2010s,India,Swiggy,No Order Too Small,Dentsu / Swiggy teams,,,Brand Film / TVC,Advertising,Film,Made a delivery promise into a consumer truth,https://www.youtube.com/results?search_query=Swiggy+No+Order+Too+Small+Indian+advertisement
116,2018,2010s,India,Zomato,Feeding India / brand films,In-house / agencies,,,Brand Film / TVC,Advertising,Film,Food delivery brand expands from transaction to cultural role,https://www.youtube.com/results?search_query=Zomato+Feeding+India+%2F+brand+films+Indian+advertisement
117,2019,2010s,India,Ariel,Share The Load - Dad,BBDO India,,,Brand Film / TVC,Advertising,Film,A familiar platform gets renewed through a fresh character,https://www.youtube.com/results?search_query=Ariel+Share+The+Load+-+Dad+Indian+advertisement
118,2019,2010s,India,Google India,Year in Search India,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Turns search data into a mirror of the country's emotional year,https://www.youtube.com/results?search_query=Google+India+Year+in+Search+India+Indian+advertisement
119,2019,2010s,India,Google India,Year in Search,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Search data turned into cultural storytelling,https://www.youtube.com/results?search_query=Google+India+Year+in+Search+Indian+advertisement
120,2019,2010s,India,Surf Excel,Holi / stain friendship,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Cultural relevance + product truth created massive conversation,https://www.youtube.com/results?search_query=Surf+Excel+Holi+%2F+stain+friendship+Indian+advertisement
121,2019,2010s,India,Tanishq,Ekatvam / modern India,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Brand values are communicated through casting and story rather than slogans,https://www.youtube.com/results?search_query=Tanishq+Ekatvam+%2F+modern+India+Indian+advertisement
122,2020,2020s,India,CRED,Indiranagar / Rahul Dravid,DDB Mudra / CRED,Raghu Bhat / team,,Brand Film / TVC,Advertising,Film,A bizarre celebrity transformation became an instantly shareable cultural event,https://www.youtube.com/results?search_query=CRED+Indiranagar+%2F+Rahul+Dravid+Indian+advertisement
123,2020,2020s,India,CRED,Jackie Shroff,DDB Mudra / CRED,,,Brand Film / TVC,Advertising,Film,Celebrity casting used for absurdity rather than endorsement,https://www.youtube.com/results?search_query=CRED+Jackie+Shroff+Indian+advertisement
124,2020,2020s,India,CRED,Rahul Dravid - Indiranagar,DDB Mudra,Raghu Bhat / team,,Brand Film / TVC,Advertising,Film,A celebrity's public persona is inverted to create the joke,https://www.youtube.com/results?search_query=CRED+Rahul+Dravid+-+Indiranagar+Indian+advertisement
125,2021,2020s,India,CRED,Bappi Lahiri / CRED campaigns,DDB Mudra / CRED,,,Brand Film / TVC,Advertising,Film,Turned premium fintech advertising into entertainment,https://www.youtube.com/results?search_query=CRED+Bappi+Lahiri+%2F+CRED+campaigns+Indian+advertisement
126,2021,2020s,India,CRED,Bappi Lahiri,DDB Mudra,,,Brand Film / TVC,Advertising,Film,Celebrity + absurdity + fintech category contrast,https://www.youtube.com/results?search_query=CRED+Bappi+Lahiri+Indian+advertisement
127,2021,2020s,India,Swiggy,No Order Too Small / brand work,Dentsu / Swiggy,,,Brand Film / TVC,Advertising,Film,Sharp product truth expressed through tiny human moments,https://www.youtube.com/results?search_query=Swiggy+No+Order+Too+Small+%2F+brand+work+Indian+advertisement
128,2021,2020s,India,Tinder India,You Up?,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Modern dating language turned into a culturally recognisable brand voice,https://www.youtube.com/results?search_query=Tinder+India+You+Up%3F+Indian+advertisement
129,2021,2020s,India,Zomato,Har Customer Hai Star,Leo Burnett / Zomato,,,Brand Film / TVC,Advertising,Film,Reframed delivery workers and customers as characters in the brand world,https://www.youtube.com/results?search_query=Zomato+Har+Customer+Hai+Star+Indian+advertisement
130,2021,2020s,India,Zomato,Delivery partners / social campaigns,Leo Burnett / Zomato,,,Brand Film / TVC,Advertising,Film,Simple human storytelling around an everyday service,https://www.youtube.com/results?search_query=Zomato+Delivery+partners+%2F+social+campaigns+Indian+advertisement
131,2022,2020s,India,CRED,Great for Good,DDB Mudra / CRED,,,Brand Film / TVC,Advertising,Film,The brand made its own world and casting style the creative asset,https://www.youtube.com/results?search_query=CRED+Great+for+Good+Indian+advertisement
132,2022,2020s,India,Cadbury,Not Just A Cadbury Ad,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Creator culture used to turn real moments into brand stories,https://www.youtube.com/results?search_query=Cadbury+Not+Just+A+Cadbury+Ad+Indian+advertisement
133,2022,2020s,India,Cadbury Dairy Milk,Not Just A Cadbury Ad,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Uses creator culture and real moments to blur advertising and content,https://www.youtube.com/results?search_query=Cadbury+Dairy+Milk+Not+Just+A+Cadbury+Ad+Indian+advertisement
134,2022,2020s,India,Fevicol,Dum Laga Ke Haisha / modern Fevicol,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Shows how a decades-old brand platform can keep finding new product demonstrations,https://www.youtube.com/results?search_query=Fevicol+Dum+Laga+Ke+Haisha+%2F+modern+Fevicol+Indian+advertisement
135,2022,2020s,India,Fevicol,Modern Fevicol humour,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A 30-year platform still finds new product demonstrations,https://www.youtube.com/results?search_query=Fevicol+Modern+Fevicol+humour+Indian+advertisement
136,2022,2020s,India,Myntra,Stylish Star / fashion campaigns,FCB / in-house,,,Brand Film / TVC,Advertising,Film,Demonstrates how platform brands use entertainment as the media,https://www.youtube.com/results?search_query=Myntra+Stylish+Star+%2F+fashion+campaigns+Indian+advertisement
137,2023,2020s,India,CRED,CRED Garage / celebrity universe,DDB Mudra / CRED,,,Brand Film / TVC,Advertising,Film,A consistent comedic universe gives every new campaign an advantage,https://www.youtube.com/results?search_query=CRED+CRED+Garage+%2F+celebrity+universe+Indian+advertisement
138,2023,2020s,India,Swiggy,Voice of Hunger / social-first work,Dentsu / Swiggy,,,Brand Film / TVC,Advertising,Film,Digital behaviour becomes the creative medium,https://www.youtube.com/results?search_query=Swiggy+Voice+of+Hunger+%2F+social-first+work+Indian+advertisement
139,2023,2020s,India,Tinder,India youth campaigns,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Language feels native to the audience instead of 'advertising',https://www.youtube.com/results?search_query=Tinder+India+youth+campaigns+Indian+advertisement
140,2023,2020s,India,Tinder India,Dating Unlocked / youth work,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Contemporary language and insight rather than traditional romantic tropes,https://www.youtube.com/results?search_query=Tinder+India+Dating+Unlocked+%2F+youth+work+Indian+advertisement
141,2023,2020s,India,Zomato,Intercity / brand films,Leo Burnett / Zomato,,,Brand Film / TVC,Advertising,Film,Turns a functional feature into a travel and food story,https://www.youtube.com/results?search_query=Zomato+Intercity+%2F+brand+films+Indian+advertisement
142,2024,2020s,India,Fevicol,Current humour films,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Long-running brand platform still converts product strength into comedy,https://www.youtube.com/results?search_query=Fevicol+Current+humour+films+Indian+advertisement
143,2024,2020s,India,Google India,Year in Search 2024,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Data becomes a cultural storytelling device,https://www.youtube.com/results?search_query=Google+India+Year+in+Search+2024+Indian+advertisement
144,2024,2020s,India,Google India,Year in Search,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A recurring format that makes data emotional,https://www.youtube.com/results?search_query=Google+India+Year+in+Search+Indian+advertisement
145,2024,2020s,India,Tanishq,Wedding / modern India work,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Shows how heritage brands stay contemporary through nuanced casting,https://www.youtube.com/results?search_query=Tanishq+Wedding+%2F+modern+India+work+Indian+advertisement
146,2025,2020s,India,CRED,Recent celebrity campaigns,DDB Mudra / CRED,,,Brand Film / TVC,Advertising,Film,Modern Indian advertising where casting itself becomes the idea,https://www.youtube.com/results?search_query=CRED+Recent+celebrity+campaigns+Indian+advertisement
147,2025,2020s,India,Fevicol,Modern platform films,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Proof of how a simple strategic idea can survive decades,https://www.youtube.com/results?search_query=Fevicol+Modern+platform+films+Indian+advertisement
148,2025,2020s,India,Tinder India,Contemporary India campaigns,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Sharp cultural writing for a modern dating audience,https://www.youtube.com/results?search_query=Tinder+India+Contemporary+India+campaigns+Indian+advertisement
149,2026,2020s,India,Tinder India,You Up?,Ogilvy India,,,Brand Film / TVC,Advertising,Film,"A current example of concise, culturally fluent dating-brand communication",https://www.youtube.com/results?search_query=Tinder+India+You+Up%3F+Indian+advertisement
150,1971,1970s,USA,Coca-Cola,Hilltop / I'd Like to Buy the World a Coke,McCann Erickson,Bill Backer,Harvey Gabor,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coca+Cola+Hilltop+I+d+Like+to+Buy+the+World+a+Coke+commercial
151,1973,1970s,USA,Avis,We Try Harder,Doyle Dane Bernbach,Bill Bernbach,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Avis+We+Try+Harder+commercial
152,1974,1970s,USA,Miller Lite,"Tastes Great, Less Filling",McCann Erickson,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Miller+Lite+Tastes+Great+Less+Filling+commercial
153,1975,1970s,UK,Heinz,Beanz Meanz Heinz,Young & Rubicam,Tony Brignull,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Heinz+Beanz+Meanz+Heinz+commercial
154,1975,1970s,USA,Alka-Seltzer,I Can't Believe I Ate the Whole Thing,Jack Tinker & Partners,Howard Zieff,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Alka+Seltzer+I+Can+t+Believe+I+Ate+the+Whole+Thing+commercial
155,1977,1970s,UK,British Airways,The World's Favourite Airline,Saatchi & Saatchi,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=British+Airways+The+World+s+Favourite+Airline+commercial
156,1978,1970s,USA,Pepsi,Pepsi Challenge,BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Pepsi+Pepsi+Challenge+commercial
157,1979,1970s,UK,Guinness,Surfer,AMV BBDO,John Webster,Jonathan Glazer,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Surfer+commercial
158,1980,1980s,USA,FedEx,Fast Talker,Needham Harper Steers,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=FedEx+Fast+Talker+commercial
159,1981,1980s,USA,Apple,1984,Chiat\Day,Steve Hayden,Ridley Scott,Brand Film / TVC,Advertising,Film,A landmark example of turning a product launch into a piece of cultural theatre,https://www.youtube.com/results?search_query=Apple+1984+commercial
160,1982,1980s,USA,Energizer,Energizer Bunny,Doyle Dane Bernbach,,,Humour,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Energizer+Energizer+Bunny+commercial
161,1982,1980s,UK,Cadbury,Flake / Only the crumbliest,Ogilvy,David Abbott,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Cadbury+Flake+Only+the+crumbliest+commercial
162,1983,1980s,USA,Wendy's,Where's the Beef?,Dancer Fitzgerald Sample,Ruth Brown,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Wendy+s+Where+s+the+Beef+commercial
163,1984,1980s,USA,Burger King,Where's Herb?,J. Walter Thompson,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Burger+King+Where+s+Herb+commercial
164,1984,1980s,USA,Wheaties,Breakfast of Champions,BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Wheaties+Breakfast+of+Champions+commercial
165,1985,1980s,UK,Levi's,Launderette,Bartle Bogle Hegarty,Paul Arden,Roger Lyons,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Levi+s+Launderette+commercial
166,1985,1980s,USA,McDonald's,Mac Tonight,Needham Harper Steers,Billy Davis,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=McDonald+s+Mac+Tonight+commercial
167,1986,1980s,USA,California Milk Processor Board,Got Milk?,Goodby Silverstein & Partners,Jeff Goodby,Michael Bay,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=California+Milk+Processor+Board+Got+Milk+commercial
168,1987,1980s,UK,Guinness,Draught Guinness / Anticipation,AMV BBDO,John Webster,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Draught+Guinness+Anticipation+commercial
169,1987,1980s,USA,Nike,Revolution,Wieden+Kennedy,Jim Riswold,Joe Pytka,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Revolution+commercial
170,1988,1980s,USA,Nike,Bo Knows,Wieden+Kennedy,Jim Riswold,Joe Pytka,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Bo+Knows+commercial
171,1989,1980s,UK,Levi's,Launderette / Levi's 501,Bartle Bogle Hegarty,Paul Arden,Roger Lyons,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Levi+s+Launderette+Levi+s+501+commercial
172,1989,1980s,USA,United Airlines,Rising,Leo Burnett,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=United+Airlines+Rising+commercial
173,1989,1980s,USA,Pepsi,The Choice of a New Generation,BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Pepsi+The+Choice+of+a+New+Generation+commercial
174,1990,1990s,UK,Heineken,The Water in Majorca Doesn't Taste Like Heineken,Lowe Howard-Spink,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Heineken+The+Water+in+Majorca+Doesn+t+Taste+Like+Heineken+commercial
175,1990,1990s,USA,Nike,Hare Jordan,Wieden+Kennedy,Jim Riswold,Joe Pytka,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Hare+Jordan+commercial
176,1991,1990s,UK,Carlsberg,Probably the Best Beer in the World,Saatchi & Saatchi,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Carlsberg+Probably+the+Best+Beer+in+the+World+commercial
177,1991,1990s,USA,Gatorade,Be Like Mike,Foot Cone & Belding,Mike Davis,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Gatorade+Be+Like+Mike+commercial
178,1992,1990s,USA,Nike,I Am Not a Role Model,Wieden+Kennedy,Jim Riswold,Peter Nydrle,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+I+Am+Not+a+Role+Model+commercial
179,1992,1990s,UK,Levi's,Swimmer,Bartle Bogle Hegarty,Paul Arden,Jonathan Glazer,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Levi+s+Swimmer+commercial
180,1993,1990s,UK,Cadbury,Drumming Gorilla / later Gorilla,Fallon,Richard Flintham,,Humour,Advertising,Film,A product category ad that became famous by committing completely to an unexpected idea,https://www.youtube.com/results?search_query=Cadbury+Drumming+Gorilla+later+Gorilla+commercial
181,1993,1990s,USA,Budweiser,Frogs,DDB Chicago,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Budweiser+Frogs+commercial
182,1994,1990s,UK,Guinness,NoitulovE,AMV BBDO,John Webster,Daniel Kleinman,Emotional,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+NoitulovE+commercial
183,1994,1990s,USA,Got Milk?,Aaron Burr,Goodby Silverstein & Partners,Jeff Goodby,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Got+Milk+Aaron+Burr+commercial
184,1995,1990s,USA,Mastercard,Priceless,McCann Erickson,Jonathan Rosen,Walter Robinson,Brand Film / TVC,Advertising,Film,A powerful demonstration of how a simple creative device can become a long-running brand property,https://www.youtube.com/results?search_query=Mastercard+Priceless+commercial
185,1995,1990s,UK,Guinness,Anticipation / Black and White,AMV BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Anticipation+Black+and+White+commercial
186,1995,1990s,USA,Nike,If You Let Me Play,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+If+You+Let+Me+Play+commercial
187,1996,1990s,USA,Apple,Think Different,TBWA\Chiat\Day,Craig Tanimoto,Joe Pytka,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+Think+Different+commercial
188,1996,1990s,UK,Levi's,Drugstore,Bartle Bogle Hegarty,Paul Arden,Michel Gondry,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Levi+s+Drugstore+commercial
189,1996,1990s,UK,Honda,Cog,Wieden+Kennedy,Ronald Ng,Antoine Bardou-Jacquet,Product Demo / Craft,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Honda+Cog+commercial
190,1997,1990s,USA,Budweiser,Wassup?,DDB Chicago,Vinny Warren,Charles Stone III,Humour,Advertising,Film,A repeatable cultural line that became a social ritual and made the brand part of everyday language,https://www.youtube.com/results?search_query=Budweiser+Wassup+commercial
191,1998,1990s,UK,Sony Bravia,Balls,Fallon,,,Product Demo / Craft,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Sony+Bravia+Balls+commercial
192,1998,1990s,USA,Nike,The Morning After,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+The+Morning+After+commercial
193,1999,1990s,UK,Honda,The Cog,Wieden+Kennedy,Ronald Ng,Antoine Bardou-Jacquet,Product Demo / Craft,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Honda+The+Cog+commercial
194,1999,1990s,USA,Reebok,"Terry Tate, Office Linebacker",Arnold Worldwide,Pete Sorrentino,Trey Parker,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Reebok+Terry+Tate+Office+Linebacker+commercial
195,1999,1990s,USA,Budweiser,Whassup?,DDB Chicago,Vinny Warren,Charles Stone III,Humour,Advertising,Film,A repeatable cultural line that became a social ritual and made the brand part of everyday language,https://www.youtube.com/results?search_query=Budweiser+Whassup+commercial
196,2000,2000s,USA,Volkswagen,Drivers Wanted,Arnold Worldwide,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Volkswagen+Drivers+Wanted+commercial
197,2000,2000s,UK,John West,Bear Fight,Leo Burnett,Neil Dawson,Daniel Kleinman,Humour,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+West+Bear+Fight+commercial
198,2000,2000s,USA,BMW,The Hire,Fallon,David Lubars,Various,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=BMW+The+Hire+commercial
199,2001,2000s,UK,Cadbury,Gorilla-era / Dairy Milk,Fallon,,,Humour,Advertising,Film,A product category ad that became famous by committing completely to an unexpected idea,https://www.youtube.com/results?search_query=Cadbury+Gorilla+era+Dairy+Milk+commercial
200,2001,2000s,USA,Honda,Hands,Wieden+Kennedy,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Honda+Hands+commercial
201,2001,2000s,USA,Nike,Move,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Move+commercial
202,2002,2000s,UK,Sony,Balls,Fallon,,,Product Demo / Craft,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Sony+Balls+commercial
203,2002,2000s,USA,Apple,Switch,TBWA\Chiat\Day,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+Switch+commercial
204,2002,2000s,USA,Budweiser,Clydesdales / Respect,DDB Chicago,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Budweiser+Clydesdales+Respect+commercial
205,2003,2000s,USA,Subaru,Baby Driver,Carmichael Lynch,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Subaru+Baby+Driver+commercial
206,2003,2000s,UK,Guinness,Surfer / reissues,AMV BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Surfer+reissues+commercial
207,2003,2000s,USA,Dove,Campaign for Real Beauty,Ogilvy,Nancy Vonk,Tim Piper,Social / Purpose,Advertising,Film,"Shows how a brand can turn a social tension into a simple, highly shareable creative platform",https://www.youtube.com/results?search_query=Dove+Campaign+for+Real+Beauty+commercial
208,2004,2000s,USA,Budweiser,Real Men of Genius,DDB Chicago,Eric Silver,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Budweiser+Real+Men+of+Genius+commercial
209,2004,2000s,USA,P&G,"Thank You, Mom",Various,,,Emotional,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=P+G+Thank+You+Mom+commercial
210,2005,2000s,UK,Sony Bravia,Paint,Fallon,Ken Cockerill,Jonathan Glazer,Product Demo / Craft,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Sony+Bravia+Paint+commercial
211,2005,2000s,USA,Nike,Freestyle,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Freestyle+commercial
212,2005,2000s,UK,Cadbury,Gorilla,Fallon,Richard Flintham,Juan Cabral,Humour,Advertising,Film,A product category ad that became famous by committing completely to an unexpected idea,https://www.youtube.com/results?search_query=Cadbury+Gorilla+commercial
213,2006,2000s,UK,Guinness,Surfer / Evolution,AMV BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Surfer+Evolution+commercial
214,2006,2000s,USA,Dove,Evolution,Ogilvy,Nancy Vonk,Tim Piper,Social / Purpose,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Dove+Evolution+commercial
215,2006,2000s,USA,Nike,Write the Future,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Write+the+Future+commercial
216,2006,2000s,UK,T-Mobile,Dance,Saatchi & Saatchi,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=T+Mobile+Dance+commercial
217,2007,2000s,UK,Guinness,Tipping Point,Abbott Mead Vickers BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Tipping+Point+commercial
218,2007,2000s,USA,Cadillac,Break Through,Leo Burnett,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Cadillac+Break+Through+commercial
219,2007,2000s,USA,Halo 3,Believe,Turbulence,N/A,Joseph Kosinski,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Halo+3+Believe+commercial
220,2008,2000s,UK,Compare the Market,Compare the Meerkat,VCCP,James Hilton,,Humour,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Compare+the+Market+Compare+the+Meerkat+commercial
221,2008,2000s,USA,Old Spice,Man Your Man Could Smell Like,Wieden+Kennedy,Craig Allen,Tom Kuntz,Brand Film / TVC,Advertising,Film,A character-led campaign built around a crystal-clear product benefit and relentless comedic escalation,https://www.youtube.com/results?search_query=Old+Spice+Man+Your+Man+Could+Smell+Like+commercial
222,2008,2000s,USA,Nike,Fate,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Fate+commercial
223,2009,2000s,UK,T-Mobile,Life's for Sharing / Welcome Home,Saatchi & Saatchi,,,Emotional,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=T+Mobile+Life+s+for+Sharing+Welcome+Home+commercial
